CIDADE,LATITUDE,LONGITUDE
São João do Paraíso,-15.3168,-42.0213
São Miguel do Anta,-20.7067,-42.7174
São Pedro da União,-21.131,-46.6123
São Pedro do Suaçuí,-18.3609,-42.5981
São Pedro dos Ferros,-20.1732,-42.5251
São Romão,-16.3641,-45.0749
São Roque de Minas,-20.249,-46.3639
São Sebastião da Bela Vista,-22.1583,-45.7546
São Sebastião da Vargem Alegre,-19.7477,-43.3679
São Sebastião do Anta,-19.5064,-41.985
São Sebastião do Maranhão,-18.0873,-42.5659
São Sebastião do Oeste,-20.2758,-45.0063
São Sebastião do Rio Preto,-19.2959,-43.1757
São Sebastião do Rio Verde,-22.2183,-44.9761
São Thomé das Letras,-21.7218,-44.9849
São Tiago,-20.9075,-44.5098
São Tomás de Aquino,-20.7791,-47.0962
São Vicente de Minas,-21.7042,-44.4431
Tabuleiro,-21.3632,-43.2381
Taiobeiras,-15.8106,-42.2259
Taparuba,-19.7621,-41.608
Tapira,-19.9166,-46.8264
Tapiraí,-19.8936,-46.0221
Taquaraçu de Minas,-19.6652,-43.6922
Tarumirim,-19.2835,-42.0097
Teixeiras,-20.6561,-42.8564
Timóteo,-19.5811,-42.6471
Tiradentes,-21.1102,-44.1744
Tiros,-19.0037,-45.9626
Tocantins,-21.1774,-43.0127
Tocos do Moji,-22.3698,-46.0971
Toledo,-22.7421,-46.3728
Tombos,-20.9086,-42.0228
Três Pontas,-21.3694,-45.5109
Tumiritinga,-18.9844,-41.6527
Turmalina,-17.2828,-42.7285
Turvolândia,-21.8733,-45.7859
Ubaporanga,-19.6351,-42.1059
Ubaí,-16.2885,-44.7783
Umburatiba,-17.2548,-40.5779
Unaí,-16.3592,-46.9022
União de Minas,-19.5299,-50.338
Uruana de Minas,-16.0634,-46.2443
Urucuia,-16.1244,-45.7352
Urucânia,-20.3521,-42.737
Vargem Alegre,-19.5988,-42.2949
Vargem Bonita,-20.3333,-46.3688
Vargem Grande do Rio Pardo,-15.3987,-42.3085
Varjão de Minas,-18.3741,-46.0313
Varzelândia,-15.6992,-44.0278
Verdelândia,-15.5845,-43.6121
Veredinha,-17.3974,-42.7307
Vermelho Novo,-20.0406,-42.2688
Veríssimo,-19.6657,-48.3118
Vespasiano,-19.6883,-43.9239
Vieiras,-20.867,-42.2401
Virgem da Lapa,-16.807,-42.3431
Virginópolis,-18.8154,-42.7015
Virgolândia,-18.4738,-42.3067
Virgínia,-22.3264,-45.0965
Visconde do Rio Branco,-21.0127,-42.8361
Volta Grande,-21.7671,-42.5375
Várzea da Palma,-17.5944,-44.7226
Wenceslau Braz,-22.5368,-45.3626
Água Boa,-17.9914,-42.3806
Água Comprida,-20.0576,-48.1069
Águas Formosas,-17.0802,-40.9384
Águas Vermelhas,-15.7431,-41.4571
