CIDADE,LATITUDE,LONGITUDE
Coimbra,-20.8535,-42.8008
Coluna,-18.2311,-42.8352
Comercinho,-16.2963,-41.7945
Conceição da Aparecida,-21.096,-46.2049
Conceição da Barra de Minas,-21.1316,-44.4729
Conceição das Alagoas,-19.9172,-48.3839
Conceição das Pedras,-22.1576,-45.4562
Conceição de Ipanema,-19.9326,-41.6908
Conceição do Pará,-19.7456,-44.8945
Conceição do Rio Verde,-21.8778,-45.087
Conceição dos Ouros,-22.4078,-45.7996
Congonhal,-22.1488,-46.043
Congonhas,-20.4958,-43.851
Congonhas do Norte,-18.8021,-43.6767
Conquista,-19.9312,-47.5492
Conselheiro Pena,-19.1789,-41.4736
Consolação,-22.5493,-45.9255
Contagem,-19.9321,-44.0539
Coqueiral,-21.1858,-45.4366
Coração de Jesus,-16.6841,-44.3635
Cordisburgo,-19.1224,-44.3224
Cordislândia,-21.7891,-45.6999
Corinto,-18.369,-44.4542
Coroaci,-18.6156,-42.2791
Coronel Fabriciano,-19.5179,-42.6276
Coronel Murta,-16.6148,-42.184
Coronel Pacheco,-21.5898,-43.256
Coronel Xavier Chaves,-21.0277,-44.2206
Couto de Magalhães de Minas,-18.0727,-43.4648
Cristais,-20.8733,-45.5167
Cristiano Otoni,-20.8324,-43.8166
Cristina,-22.208,-45.2673
Cristália,-16.716,-42.8571
Crisólita,-17.2381,-40.9184
Crucilândia,-20.3923,-44.3334
Cruzeiro da Fortaleza,-18.944,-46.6669
Cruzília,-21.84,-44.8067
Cuparaque,-18.9648,-41.0986
Curral de Dentro,-15.9327,-41.8557
Cássia,-20.5831,-46.9201
Córrego Danta,-19.8198,-45.9032
Córrego Fundo,-20.4474,-45.5617
Córrego Novo,-19.8361,-42.3988
Córrego do Bom Jesus,-22.6269,-46.0241
Cônego Marinho,-15.2892,-44.4181
Datas,-18.4478,-43.6591
Delfim Moreira,-22.5036,-45.2792
Delfinópolis,-20.3468,-46.8456
Delta,-19.9721,-47.7841
Descoberto,-21.46,-42.9618
Desterro de Entre Rios,-20.665,-44.3334
Desterro do Melo,-21.143,-43.5178
Diogo de Vasconcelos,-20.4879,-43.1953
Dionísio,-19.8433,-42.7701
Divino,-20.6134,-42.1438
Divino das Laranjeiras,-18.7755,-41.4781
Divinolândia de Minas,-18.8004,-42.6103
Divinésia,-20.9917,-43.0003
Divisa Alegre,-15.7221,-41.3463
Divisa Nova,-21.5092,-46.1904
Divisópolis,-15.7254,-40.9997
Dom Bosco,-16.652,-46.2597
Dom Cavati,-19.3735,-42.1121
Dom Joaquim,-18.961,-43.2544
Dom Silvério,-20.1627,-42.9627
Dom Viçoso,-22.2511,-45.1643
Dona Eusébia,-21.319,-42.807
Dores de Campos,-21.1139,-44.0207
Dores de Guanhães,-19.0516,-42.9254
Dores do Indaiá,-19.4628,-45.5927
Dores do Turvo,-20.9785,-43.1834
Doresópolis,-20.2868,-45.9007
Douradoquara,-18.4338,-47.5993
Durandé,-20.2058,-41.7977
Elói Mendes,-21.6088,-45.5691
Engenheiro Caldas,-19.2065,-42.0503
Engenheiro Navarro,-17.2831,-43.947
Entre Folhas,-19.6218,-42.2306
Entre Rios de Minas,-20.6706,-44.0654
Ervália,-20.8403,-42.6544
Esmeraldas,-19.764,-44.3065
Espera Feliz,-20.6508,-41.9119
Espinosa,-14.9249,-42.809
